Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"Address.java",1,18,1,1
File,"AddressException.java",1,1,1,0
File,"Authentication.java",1,7,1,2
File,"AuthenticationController.java",2,8,1,3
File,"AuthenticationDAO.java",2,4,1,1
File,"AuthenticationException.java",1,1,1,0
File,"AuthenticationView.java",1,2,1,0
File,"ButtonColumn.java",1,22,1,1
File,"CPF.java",2,11,1,3
File,"CPFException.java",1,1,1,0
File,"Class.java",1,36,3,2
File,"ClassController.java",2,16,1,1
File,"ClassDAO.java",3,32,1,3
File,"ClassDecorator.java",1,4,1,0
File,"ClassException.java",1,1,1,0
File,"ClassForm.java",1,4,1,0
File,"ClassShowForm.java",1,3,1,0
File,"ClassView.java",1,1,1,0
File,"Course.java",1,14,1,1
File,"CourseController.java",1,17,1,1
File,"CourseDAO.java",2,21,1,3
File,"CourseException.java",1,1,1,0
File,"DAO.java",1,5,1,1
File,"DatabaseConfig.java",1,4,1,0
File,"Date.java",2,37,1,2
File,"DateException.java",1,1,1,0
File,"EditClassDecorator.java",1,12,1,2
File,"EditCourseDecorator.java",2,18,1,2
File,"EditPackageDecorator.java",2,34,1,3
File,"EditStudents.java",3,9,1,2
File,"EditTeacherDecorator.java",1,15,1,2
File,"Enroll.java",1,1,1,0
File,"EnrollController.java",1,5,1,1
File,"EnrollStudentDecorator.java",2,43,1,2
File,"EnrollStudentInMoreCourses.java",2,34,1,2
File,"EnrollStudentToClass.java",1,14,1,1
File,"FactoryConnection.java",1,4,1,1
File,"M001_CreatingCourseTable.java",1,2,1,0
File,"M002_CreatingUserTable.java",1,2,1,0
File,"M003_CreatingPackageTable.java",1,2,1,0
File,"M004_CreatingPackageCourseTable.java",1,2,1,0
File,"M005_AddingStatusColumnToPackageTable.java",1,2,1,0
File,"M006_CreatingStudentTable.java",1,2,1,0
File,"M007_CreatingPaymentTable.java",1,2,1,0
File,"M008_CreatingServiceTable.java",1,2,1,0
File,"M009_CreatingServiceAssociationsTable.java",1,2,1,0
File,"M010_CreatingPaymentDescriptionTable.java",6,12,1,4
File,"M011_CreatingTeacherTable.java",1,2,1,0
File,"M012_CreatingClassTable.java",1,2,1,0
File,"M013_AddingClassStatusColumn.java",1,2,1,0
File,"M014_AddingStudentClassAttributes.java",1,2,1,0
File,"M015_UpdatingIdClassColumnToClass.java",1,2,1,0
File,"Migration.java",1,6,1,1
File,"Model.java",2,11,1,2
File,"NewClassDecorator.java",1,17,1,2
File,"NewCourseDecorator.java",2,10,1,2
File,"NewPackageDecorator.java",2,26,1,3
File,"NewTeacherDecorator.java",1,11,1,2
File,"Package.java",1,19,1,2
File,"PackageController.java",2,18,3,3
File,"PackageDAO.java",3,36,1,3
File,"PackageException.java",1,1,1,0
File,"Payment.java",1,19,1,2
File,"PaymentController.java",1,6,1,2
File,"PaymentDAO.java",2,11,1,3
File,"PaymentDescription.java",2,22,1,2
File,"PaymentException.java",1,1,1,0
File,"Person.java",1,34,1,2
File,"PersonDecorator.java",1,4,1,0
File,"PersonException.java",1,1,1,0
File,"PersonForm.java",1,3,1,0
File,"PersonView.java",1,2,1,0
File,"Phone.java",1,10,1,1
File,"PhoneException.java",1,1,1,0
File,"RG.java",1,11,1,1
File,"RGException.java",1,1,1,0
File,"RunMigration.java",2,2,1,1
File,"SearchClass.java",1,22,1,4
File,"SearchCourse.java",2,22,1,2
File,"SearchPackage.java",1,28,1,2
File,"SearchStudent.java",2,19,1,2
File,"SearchTeacher.java",2,17,1,3
File,"Service.java",1,33,1,2
File,"ServiceController.java",2,18,1,3
File,"ServiceDAO.java",2,15,1,2
File,"ServiceException.java",1,1,1,0
File,"ServiceItem.java",1,18,1,2
File,"ServiceItemDecorator.java",1,4,1,0
File,"ServiceItemException.java",1,1,1,0
File,"ServiceItemForm.java",1,3,1,0
File,"ServiceItemView.java",1,1,1,0
File,"ShowCourseDecorator.java",1,19,1,3
File,"ShowPackageDecorator.java",1,22,1,3
File,"ShowStudentDecorator.java",2,29,1,3
File,"ShowStudentsClassDecorator.java",2,30,3,3
File,"ShowTeacherDecorator.java",1,18,1,3
File,"SimCta.java",1,13,1,2
File,"Student.java",1,5,1,0
File,"StudentClass.java",1,26,1,2
File,"StudentClassController.java",2,17,1,2
File,"StudentClassDAO.java",3,13,1,4
File,"StudentClassException.java",1,1,1,0
File,"StudentController.java",1,15,1,2
File,"StudentDAO.java",3,23,1,4
File,"StudentException.java",1,1,1,0
File,"StudentForm.java",1,4,1,0
File,"Teacher.java",1,7,1,1
File,"TeacherController.java",1,17,1,1
File,"TeacherDAO.java",3,24,1,4
File,"TeacherException.java",1,1,1,0
File,"TeacherForm.java",1,4,1,1
File,"UpdateDirectorPassword.java",1,3,1,1
File,"View.java",1,34,4,4
Package,"controller",1,138,3,3
Public Class,"controller.AuthenticationController",2,8,1,3
Public Constructor,"controller.AuthenticationController.AuthenticationController",,1,,0
Public Method,"controller.AuthenticationController.checkDataFromUser",,3,,1
Public Method,"controller.AuthenticationController.updateDirectorPassword",,4,,3
Public Class,"controller.ClassController",2,16,1,1
Public Constructor,"controller.ClassController.ClassController",,1,,0
Public Method,"controller.ClassController.closeClass",,2,,1
Public Method,"controller.ClassController.getClass",,1,,0
Public Method,"controller.ClassController.getClasses",,2,,1
Public Method,"controller.ClassController.newClass",,4,,1
Public Method,"controller.ClassController.searchClass",,2,,1
Public Method,"controller.ClassController.setClassDAO",,1,,0
Public Method,"controller.ClassController.updateClass",,3,,1
Public Class,"controller.CourseController",1,17,1,1
Public Constructor,"controller.CourseController.CourseController",,1,,0
Public Method,"controller.CourseController.alterStatusCourse",,2,,1
Public Method,"controller.CourseController.get",,2,,1
Public Method,"controller.CourseController.newCourse",,2,,1
Public Method,"controller.CourseController.newCourse",,2,,1
Private Method,"controller.CourseController.saveCourse",,2,,1
Public Method,"controller.CourseController.setCourseDAO",,1,,0
Public Method,"controller.CourseController.showCourse",,1,,0
Public Method,"controller.CourseController.showCourse",,1,,0
Public Method,"controller.CourseController.showCourse",,1,,0
Public Method,"controller.CourseController.updateCourse",,2,,1
Public Abstract Class,"controller.Enroll",1,1,1,0
Protected Method,"controller.Enroll.enroll",,1,,0
Protected Abstract Method,"controller.Enroll.saveService",,0,,0
Protected Abstract Method,"controller.Enroll.saveStudent",,0,,0
Public Class,"controller.EnrollController",1,5,1,1
Public Constructor,"controller.EnrollController.EnrollController",,1,,0
Public Method,"controller.EnrollController.enrollStudent",,2,,1
Protected Method,"controller.EnrollController.saveService",,1,,0
