Kind,Name,CountClassDerived,CountClassBase,MaxInheritanceTree
Public Class,"controller.AuthenticationController",0,1,1
Public Class,"controller.ClassController",0,1,1
Public Class,"controller.CourseController",0,1,1
Public Abstract Class,"controller.Enroll",1,1,1
Public Class,"controller.EnrollController",0,1,2
Public Class,"controller.PackageController",0,1,1
Public Class,"controller.PaymentController",0,1,1
Public Class,"controller.ServiceController",0,1,1
Public Class,"controller.StudentClassController",0,1,1
Public Class,"controller.StudentController",0,1,1
Public Class,"controller.TeacherController",0,1,1
Public Class,"dao.AuthenticationDAO",0,1,2
Public Class,"dao.ClassDAO",0,1,2
Public Class,"dao.CourseDAO",0,1,2
Public Abstract Class,"dao.DAO",10,1,1
Public Class,"dao.DatabaseConfig",0,1,1
Public Class,"dao.FactoryConnection",0,1,1
Public Class,"dao.PackageDAO",0,1,2
Public Class,"dao.PaymentDAO",0,1,2
Public Class,"dao.ServiceDAO",0,1,2
Public Class,"dao.StudentClassDAO",0,1,2
Public Class,"dao.StudentDAO",0,1,2
Public Class,"dao.TeacherDAO",0,1,2
Public Class,"datatype.Address",0,1,2
Public Class,"datatype.CPF",0,1,2
Public Class,"datatype.Date",0,1,2
Public Class,"datatype.Phone",0,1,2
Public Class,"datatype.RG",0,1,2
Public Class,"exception.AddressException",0,1,2
Public Class,"exception.AuthenticationException",0,1,2
Public Class,"exception.CPFException",0,1,2
Public Class,"exception.ClassException",0,1,2
Public Class,"exception.CourseException",0,1,3
Public Class,"exception.DateException",0,1,2
Public Class,"exception.PackageException",0,1,3
Public Class,"exception.PaymentException",0,1,2
Public Class,"exception.PersonException",0,1,2
Public Class,"exception.PhoneException",0,1,2
Public Class,"exception.RGException",0,1,2
Public Class,"exception.ServiceException",0,1,2
Public Class,"exception.ServiceItemException",2,1,2
Public Class,"exception.StudentClassException",0,1,2
Public Class,"exception.StudentException",0,1,2
Public Class,"exception.TeacherException",0,1,2
Public Class,"migration.M001_CreatingCourseTable",0,1,3
Public Class,"migration.M002_CreatingUserTable",0,1,3
Public Class,"migration.M003_CreatingPackageTable",0,1,3
Public Class,"migration.M004_CreatingPackageCourseTable",0,1,3
Public Class,"migration.M005_AddingStatusColumnToPackageTable",0,1,3
Public Class,"migration.M006_CreatingStudentTable",0,1,3
Public Class,"migration.M007_CreatingPaymentTable",0,1,3
Public Class,"migration.M008_CreatingServiceTable",0,1,3
Public Class,"migration.M009_CreatingServiceAssociationsTable",0,1,3
Public Class,"migration.M010_CreatingPaymentDescriptionTable",0,1,3
Public Class,"migration.M011_CreatingTeacherTable",0,1,3
Public Class,"migration.M012_CreatingClassTable",0,1,3
Public Class,"migration.M013_AddingClassStatusColumn",0,1,3
Public Class,"migration.M014_AddingStudentClassAttributes",0,1,3
Public Class,"migration.M015_UpdatingIdClassColumnToClass",0,1,3
Public Abstract Class,"migration.Migration",15,1,2
Public Class,"migration.RunMigration",0,1,1
Public Class,"model.Authentication",0,1,1
Public Class,"model.Class",0,1,2
Public Class,"model.Course",0,1,3
Public Abstract Class,"model.Model",12,1,1
Public Class,"model.Package",0,1,3
Public Class,"model.Payment",0,1,2
Public Class,"model.PaymentDescription",0,1,2
Public Class,"model.Person",2,1,2
Public Class,"model.Service",0,1,2
Public Abstract Class,"model.ServiceItem",2,1,2
Public Class,"model.Student",0,1,3
